epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.1514,3.15294,3.39398,2.75256,0.11456,0.10129,0.06848,0.03278,2.89884,3.31908,2.65042,2e-05,2e-05,2e-05
2,125.991,3.06964,3.42268,2.63284,0.13089,0.11573,0.07833,0.03645,2.85594,3.32289,2.58869,5.8812e-05,5.8812e-05,5.8812e-05
3,184.293,2.99653,3.38926,2.49771,0.14967,0.13233,0.09149,0.04115,2.84105,3.32437,2.52383,9.604e-05,9.604e-05,9.604e-05
4,228.876,2.93637,3.26576,2.51963,0.16622,0.14697,0.10825,0.04381,2.86942,3.31682,2.51363,0.000131684,0.000131684,0.000131684
5,278.466,2.88167,3.22694,2.3587,0.18233,0.16121,0.12495,0.0483,2.92785,3.28893,2.53865,0.000165744,0.000165744,0.000165744
6,324.117,2.8666,3.07203,2.27841,0.20622,0.18234,0.14619,0.05668,2.93413,3.24692,2.56988,0.00019822,0.00019822,0.00019822
7,365.946,2.85681,3.01651,2.27357,0.22656,0.20031,0.16375,0.06234,2.89856,3.18829,2.54399,0.000229112,0.000229112,0.000229112
8,407.307,2.7657,2.82887,2.17514,0.22622,0.20002,0.16144,0.06038,2.92081,3.15625,2.59062,0.00025842,0.00025842,0.00025842
9,448.571,2.82,2.80072,2.15257,0.22856,0.20208,0.15784,0.05809,2.94785,3.15242,2.63629,0.000286144,0.000286144,0.000286144
10,488.232,2.74921,2.67689,2.09368,0.22389,0.19796,0.14939,0.05462,2.96918,3.14623,2.68247,0.000312284,0.000312284,0.000312284
11,548.275,2.82738,2.67483,2.11923,0.21467,0.1898,0.14052,0.04895,2.98981,3.13081,2.73437,0.00033684,0.00033684,0.00033684
12,617.401,2.82141,2.64888,2.1252,0.19189,0.16966,0.12551,0.04389,3.03339,3.12735,2.82683,0.000359812,0.000359812,0.000359812
13,668.151,2.80701,2.57282,2.0918,0.16033,0.14176,0.10207,0.03196,3.09471,3.14374,2.96767,0.0003812,0.0003812,0.0003812
14,719.945,2.80225,2.63153,2.09281,0.14422,0.12752,0.09504,0.02953,3.14645,3.15678,3.06803,0.000401004,0.000401004,0.000401004
15,766.622,2.73482,2.63955,2.08737,0.13056,0.11543,0.09073,0.02672,3.19744,3.177,3.15289,0.000419224,0.000419224,0.000419224
16,815.384,2.74462,2.56402,2.05904,0.13322,0.11779,0.09244,0.02749,3.23594,3.14423,3.14337,0.00043586,0.00043586,0.00043586
17,858.622,2.71484,2.52838,2.03762,0.13367,0.11818,0.08785,0.02834,3.24764,3.10986,3.08524,0.000450912,0.000450912,0.000450912
18,907.863,2.7082,2.47185,2.00018,0.18644,0.16485,0.13718,0.04379,3.2173,3.07408,2.97566,0.00046438,0.00046438,0.00046438
19,956.416,2.71814,2.48708,2.01876,0.21322,0.18853,0.14903,0.04966,3.14665,3.05909,2.82347,0.000476264,0.000476264,0.000476264
20,1005.82,2.67133,2.37556,1.98425,0.21911,0.19373,0.14616,0.04936,3.1003,3.05255,2.7308,0.000486564,0.000486564,0.000486564
21,1052.77,2.68369,2.32639,1.95225,0.23311,0.20611,0.15702,0.0538,3.02402,3.02276,2.60621,0.00049528,0.00049528,0.00049528
22,1099.22,2.69056,2.37448,1.95124,0.25178,0.22262,0.17303,0.05878,2.95528,2.96267,2.50919,0.000502412,0.000502412,0.000502412
23,1146.9,2.75455,2.32684,1.94569,0.25911,0.2291,0.18552,0.06024,2.92933,2.82115,2.43453,0.00050796,0.00050796,0.00050796
24,1187.52,2.69023,2.30986,1.93844,0.2725,0.23883,0.18823,0.06103,2.92302,2.72236,2.39906,0.000511924,0.000511924,0.000511924
25,1231.11,2.68393,2.30309,1.98416,0.27689,0.24207,0.19805,0.06238,2.95179,2.67223,2.433,0.000514304,0.000514304,0.000514304
26,1276.86,2.68111,2.33312,1.95887,0.31144,0.27115,0.24673,0.07512,2.93661,2.61119,2.42317,0.0005151,0.0005151,0.0005151
27,1415.63,2.67466,2.31243,1.99756,0.34317,0.29698,0.27542,0.08619,2.90154,2.50613,2.384,0.000514312,0.000514312,0.000514312
28,1466.27,2.63956,2.18295,1.95358,0.34317,0.29698,0.27542,0.08619,2.90154,2.50613,2.384,0.00051194,0.00051194,0.00051194
29,1518.1,2.65207,2.21118,1.9413,0.36838,0.31634,0.2949,0.09405,2.86008,2.47661,2.34512,0.000507984,0.000507984,0.000507984
30,1555.92,2.65241,2.23722,2.00936,0.38064,0.32597,0.30513,0.10187,2.79691,2.49687,2.28025,0.000502444,0.000502444,0.000502444
31,1608.31,2.6377,2.20862,1.94749,0.38064,0.32597,0.30513,0.10187,2.79691,2.49687,2.28025,0.00049532,0.00049532,0.00049532
32,1662.43,2.66971,2.28824,1.97553,0.39045,0.33422,0.31249,0.10299,2.77337,2.57829,2.24815,0.000486612,0.000486612,0.000486612
33,1706.04,2.66828,2.19895,1.94983,0.38165,0.32646,0.30589,0.09715,2.7938,2.68399,2.25028,0.00047632,0.00047632,0.00047632
34,1757.86,2.65808,2.20635,1.93949,0.38165,0.32646,0.30589,0.09715,2.7938,2.68399,2.25028,0.000464444,0.000464444,0.000464444
35,1812.99,2.64328,2.19012,1.93879,0.3722,0.3183,0.29704,0.09404,2.7961,2.80046,2.23899,0.000450984,0.000450984,0.000450984
36,1862.64,2.62571,2.07281,1.91684,0.36175,0.30936,0.2817,0.09372,2.78769,2.90277,2.22944,0.00043594,0.00043594,0.00043594
37,1904.77,2.61422,2.21811,1.94767,0.36175,0.30936,0.2817,0.09372,2.78769,2.90277,2.22944,0.000419312,0.000419312,0.000419312
38,1947.07,2.63101,2.12506,1.94803,0.36589,0.3128,0.27613,0.09521,2.76424,2.96946,2.21266,0.0004011,0.0004011,0.0004011
39,1986.63,2.63337,2.23932,1.97445,0.35713,0.30524,0.26521,0.09208,2.76105,3.02505,2.20349,0.000381304,0.000381304,0.000381304
40,2039.18,2.62892,2.14096,1.92618,0.35713,0.30524,0.26521,0.09208,2.76105,3.02505,2.20349,0.000359924,0.000359924,0.000359924
41,2071.23,2.7069,1.91268,2.03328,0.36977,0.31604,0.27465,0.09589,2.74992,2.97446,2.17688,0.00033696,0.00033696,0.00033696
42,2101.46,2.76122,1.93738,2.02871,0.38846,0.33206,0.28743,0.10332,2.71869,2.86455,2.1379,0.000312412,0.000312412,0.000312412
43,2131.61,2.64034,1.82389,1.9624,0.38846,0.33206,0.28743,0.10332,2.71869,2.86455,2.1379,0.00028628,0.00028628,0.00028628
44,2161.9,2.62144,1.78128,1.94552,0.4017,0.34345,0.304,0.11013,2.68464,2.68925,2.09252,0.000258564,0.000258564,0.000258564
45,2192.25,2.63796,1.74354,1.96102,0.4017,0.34345,0.304,0.11013,2.68464,2.68925,2.09252,0.000229264,0.000229264,0.000229264
46,2222.85,2.63565,1.75376,1.97205,0.42045,0.35956,0.33069,0.11852,2.6535,2.50705,2.05856,0.00019838,0.00019838,0.00019838
47,2252.9,2.58974,1.80648,1.98677,0.42045,0.35956,0.33069,0.11852,2.6535,2.50705,2.05856,0.000165912,0.000165912,0.000165912
48,2283.66,2.60113,1.76477,1.98128,0.42754,0.36575,0.34181,0.12319,2.63465,2.37652,2.0424,0.00013186,0.00013186,0.00013186
49,2314.94,2.57626,1.75793,1.96447,0.42754,0.36575,0.34181,0.12319,2.63465,2.37652,2.0424,9.6224e-05,9.6224e-05,9.6224e-05
50,2346.55,2.59781,1.69123,1.95968,0.43624,0.37342,0.35649,0.12872,2.61398,2.25827,2.02365,5.9004e-05,5.9004e-05,5.9004e-05
