epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,90.7136,3.15294,3.39398,2.75256,0.11456,0.10129,0.06848,0.03278,2.89884,3.31908,2.65042,2e-05,2e-05,2e-05
2,177.048,3.06964,3.42268,2.63284,0.13089,0.11573,0.07833,0.03645,2.85594,3.32289,2.58869,5.8812e-05,5.8812e-05,5.8812e-05
3,267.753,2.99653,3.38926,2.49771,0.14967,0.13233,0.09149,0.04115,2.84105,3.32437,2.52383,9.604e-05,9.604e-05,9.604e-05
4,354.741,2.93637,3.26576,2.51963,0.16622,0.14697,0.10825,0.04381,2.86942,3.31682,2.51363,0.000131684,0.000131684,0.000131684
5,464.684,2.88167,3.22694,2.3587,0.18233,0.16121,0.12495,0.0483,2.92785,3.28893,2.53865,0.000165744,0.000165744,0.000165744
6,575.303,2.8666,3.07203,2.27841,0.20622,0.18234,0.14619,0.05668,2.93413,3.24692,2.56988,0.00019822,0.00019822,0.00019822
7,678.152,2.85681,3.01651,2.27357,0.22656,0.20031,0.16375,0.06234,2.89856,3.18829,2.54399,0.000229112,0.000229112,0.000229112
8,787.703,2.7657,2.82887,2.17514,0.23126,0.19766,0.16395,0.0616,2.92081,3.15625,2.59062,0.00025842,0.00025842,0.00025842
9,903.424,2.82,2.80072,2.15257,0.235,0.19393,0.15976,0.05928,2.94785,3.15242,2.63629,0.000286144,0.000286144,0.000286144
10,988.868,2.74921,2.67689,2.09368,0.22389,0.19796,0.14939,0.05462,2.96918,3.14623,2.68247,0.000312284,0.000312284,0.000312284
11,1103.38,2.82738,2.67483,2.11923,0.22462,0.17212,0.14279,0.05076,2.98981,3.13081,2.73437,0.00033684,0.00033684,0.00033684
12,1213,2.82141,2.64888,2.1252,0.19702,0.16259,0.12769,0.04466,3.03339,3.12735,2.82683,0.000359812,0.000359812,0.000359812
13,1345.16,2.80701,2.57282,2.0918,0.16033,0.14176,0.10207,0.03196,3.09471,3.14374,2.96767,0.0003812,0.0003812,0.0003812
